Mean Depth ,CH4nNormalized,mean total air,ice age,gas age ,,Ca2+,CH4cNormalized,Top Depth ,Bottom Depth
1500.21,664.2593027,0.087582016,15507.49091,14487.09091,,130.7111111,659.7234337,1500.17,1500.25
1500.35,662.4542761,0.087858264,15518.18182,14492.18182,,146.2354545,657.3956453,1500.3,1500.4
1500.5,659.4561275,0.091100597,15530.36364,14497.81818,,139.9644444,654.7867452,1500.46,1500.54
1500.63,644.023599,0.096988898,15541.23636,14502.78182,,137.5333333,639.7138808,1500.59,1500.67
1500.76,663.4944354,0.090144221,15552.10909,14507.74545,,141.1622222,658.7351305,1500.72,1500.8
1500.9,662.4563402,0.090814711,15563.81818,14513.09091,,124.2636364,658.2977054,1500.85,1500.95
1501.05,669.3146441,0.091934615,15576.36364,14518.45455,,111.9833333,665.6126369,1501.01,1501.09
1501.18,653.3648323,0.09212118,15587.23636,14522.94545,,117.3688889,649.4926444,1501.14,1501.22
1501.31,657.4470669,0.09220362,15598.10909,14527.43636,,116.2,653.6168701,1501.27,1501.35
1501.45,655.2713751,0.093749198,15609.81818,14532.27273,,140.0881818,650.7299007,1501.4,1501.5
1501.59,654.9379936,0.092573903,15621.52727,14537.43636,,156.8633333,649.7881292,1501.55,1501.63
1501.72,653.5111606,0.090002471,15632.4,14542.4,,136.3922222,648.9054345,1501.68,1501.76
1501.85,650.3760633,0.092930022,15643.27273,14547.36364,,158.0344444,645.2076332,1501.81,1501.89
1502,650.3281478,0.092517272,15655.81818,14553.09091,,177.2645455,644.504944,1501.95,1502.05
1502.15,646.7693876,0.092213902,15668.36364,14559,,169.8622222,641.1709952,1502.11,1502.19
1502.28,639.8866762,0.092467158,15679.23636,14564.2,,131.8011111,635.5546159,1502.24,1502.32
1502.41,641.6359281,0.091478898,15690.10909,14569.4,,141.9311111,636.9205165,1502.37,1502.45
1502.55,643.1606298,0.095078666,15701.81818,14575,,145.7836364,638.5006007,1502.5,1502.6
1502.7,635.9593429,0.093712771,15713.63636,14581.54545,,170.4533333,630.4313224,1502.66,1502.74
1502.83,637.7563433,0.094008844,15723.56364,14587.45455,,173.09,632.1604916,1502.79,1502.87
1502.96,627.7009549,0.093222893,15733.49091,14593.36364,,162.1633333,622.4141533,1502.92,1503
1503.085,628.9441853,0.094607315,15743.03636,14599.04545,,167.2478571,623.5714089,1503.02,1503.15
1503.25,629.704898,0.093854009,15756.36364,14606.72727,,159.9266667,624.526076,1503.21,1503.29
1503.25,631.618269,0.09772008,15756.36364,14606.72727,,159.9266667,626.6443352,1503.21,1503.29
1503.38,627.9665631,0.093978814,15767.23636,14612.87273,,151.3233333,623.0728459,1503.34,1503.42
1503.51,620.0533169,0.094033238,15778.10909,14619.01818,,205.6966667,613.4050448,1503.47,1503.55
1503.51,621.9549057,0.096250886,15778.10909,14619.01818,,205.6966667,615.4598116,1503.47,1503.55
1503.65,615.6844533,0.095157498,15789.81818,14625.63636,,227.0063636,608.4341204,1503.6,1503.7
1503.8,607.753341,0.094454358,15801.09091,14633.45455,,261.51,599.3388232,1503.76,1503.84
1503.93,601.7140689,0.09766175,15810.30909,14640.54545,,249.7188889,593.9428379,1503.89,1503.97
1504.06,593.8463618,0.097191061,15819.52727,14647.63636,,183.91,588.0953806,1504.02,1504.1
1504.2,603.4876324,0.090440983,15829.45455,14655.27273,,261.6436364,594.6952244,1504.15,1504.25
1504.35,599.7234602,0.09572509,15840.09091,14664.36364,,149.8711111,594.9651246,1504.31,1504.39
1504.48,572.5823891,0.096899538,15849.30909,14672.63636,,211.4066667,565.9516811,1504.44,1504.52
