GISP2 depth,[Ca2+] GISP2
(m),(ppb)
1809.76,129.62
1810.21,129.62
1810.21,186.19
1810.68,186.19
1810.68,187.93
1811.09,187.93
1811.09,173.27
1811.53,173.27
1811.53,139.98
1812.02,139.98
1812.02,143.68
1812.46,143.68
1812.46,227.53
1812.97,227.53
1812.97,147.11
1813.44,147.11
1813.44,127.58
1813.89,127.58
1813.89,134.2
1814.35,134.2
1814.35,158.97
1814.78,158.97
1814.78,200
1815.24,200
1815.24,142.09
1815.7,142.09
1815.7,187.22
1816.15,187.22
1816.15,156.77
1816.59,156.77
1816.59,143.45
1817.08,143.45
1817.08,189.17
1817.56,189.17
1817.56,216.83
1818.02,216.83
1818.02,208.3
1818.48,208.3
1818.48,260.76
1818.9,260.76
1818.9,302.47
1819.33,302.47
1819.33,135.45
1819.75,135.45
1819.75,127.58
1820.18,127.58
1820.18,142.33
1820.65,142.33
1820.65,125.69
1821.05,125.69
1821.05,106.22
1821.46,106.22
1821.46,156.21
1821.85,156.21
1821.85,146.12
1822.25,146.12
1822.25,137.24
1822.67,137.24
1822.67,141.47
1823.05,141.47
1823.05,188.64
1823.44,188.64
1823.44,212.89
1823.81,212.89
1823.81,192.73
1824.26,192.73
1824.26,131.98
1824.69,131.98
1824.69,157.35
1825.15,157.35
1825.15,201.47
1825.66,201.47
1825.66,181.93
1826.09,181.93
1826.09,153.2
1826.49,153.2
1826.49,216.67
1826.92,216.67
1826.92,193
1827.4,193
1827.4,133.86
1827.82,133.86
1827.82,201.21
1828.3,201.21
1828.3,181.47
1828.73,181.47
1828.73,193.12
1829.22,193.12
1829.22,226.49
1829.65,226.49
1829.65,167.84
1830.09,167.84
