NEEM ion concentration data in 10 yr resolution,,,,,,
"Reference: Schüpbach et al., Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene, Nature Communications, 2018",,,,,,
"further reference: Rasmussen et al., A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past 9, 2713–2730, doi:10.5194/cp-9-2713-2013 (2013).",,,,,,
,,,,,,
NEEM continuous Methane Concentration Data,,,,,,
"Reference: Chappellaz et al., High resolution glacial and delacial record of atmospheric methane by continuous-flow and laser spectrometer analysis along the NEEM ice core.  EGU Climate of the Past, 2013.",,,,,,
,,,,,,
NEEM Ca2+ (dust),,,,NEEM Methane,,
ageGICC05_mid (yr BP),depth_mid (m),Ca (ng/g),,Age (b2k),Depth (m),RawMethaneMean (ppbv)
104929.9250,2189.7288,99.65,,,,
104939.9950,2189.7553,98.21,,,,
104949.9700,2189.7815,93.56,,,,
104959.9450,2189.8078,119.34,,,,
104970.0150,2189.8343,106.09,,,,
104979.9900,2189.8605,110.42,,,,
104989.9650,2189.8868,91.09,,,,
105000.0350,2189.9133,90.65,,,,
105010.0100,2189.9395,79.42,,,,
105019.9850,2189.9658,85.30,,,,
105030.0550,2189.9923,90.49,,,,
105040.0300,2190.0185,97.41,,,,
105050.0050,2190.0448,130.75,,,,
105060.0750,2190.0713,110.04,,,,
105070.0403,2190.0975,104.21,,,,
105079.9817,2190.1238,109.37,,,,
105090.0036,2190.1503,111.18,,,,
105100.0255,2190.1768,96.36,,,,
105110.0473,2190.2033,81.43,,,,
105120.0691,2190.2298,57.71,,,,
105130.0909,2190.2563,54.30,,,,
105140.0182,2190.2825,49.38,,,,
105149.9455,2190.3088,55.18,,,,
105159.9673,2190.3353,56.97,,,,
105169.9891,2190.3618,52.07,,,,
105180.0109,2190.3883,48.07,,,,
105190.0327,2190.4148,46.38,,,,
105200.0545,2190.4413,41.13,,,,
105209.9818,2190.4675,42.91,,,,
105219.9091,2190.4938,41.71,,,,
105229.9309,2190.5203,40.12,,,,
105239.9527,2190.5468,37.16,,,,
105249.9745,2190.5733,32.84,,,,
105259.9964,2190.5998,34.36,,,,
105270.0161,2190.6263,39.95,,,,
105280.0034,2190.6535,42.42,,,,
105290.0236,2190.6823,26.51,,,,
105300.0218,2190.7115,28.21,,,,
105309.9345,2190.7405,29.99,,,,
105319.9327,2190.7698,29.08,,,,
105330.0164,2190.7993,28.97,,,,
105340.0145,2190.8285,30.92,,,,
105349.9273,2190.8575,31.17,,,,
105359.9255,2190.8868,30.59,,,,
105370.0091,2190.9163,29.94,,,,
105380.0073,2190.9455,29.70,,,,
105389.9200,2190.9745,30.06,,,,
105399.9182,2191.0038,31.91,,,,
105410.0018,2191.0333,30.38,,,,
105420.0000,2191.0625,29.04,,,,
105429.9982,2191.0918,28.17,,,,
105440.0818,2191.1213,25.60,,,,
105450.0800,2191.1505,24.44,,,,
105460.1136,2191.1800,27.11,,,,
105470.0918,2191.2115,29.82,,,,
105479.9882,2191.2455,29.50,,,,
105489.9791,2191.2805,30.78,,,,
105499.9700,2191.3155,27.31,,,,
105509.9609,2191.3505,27.80,,,,
105519.9518,2191.3855,26.38,,,,
105529.9427,2191.4205,25.83,,,,
105539.9336,2191.4555,NaN,,,,
105549.9245,2191.4905,28.64,,,,
105559.9155,2191.5255,23.05,,,,
105569.9064,2191.5605,25.79,,,,
105579.8973,2191.5955,33.83,,,,
105589.8882,2191.6305,36.33,,,,
105599.8791,2191.6655,35.36,,,,
105609.8700,2191.7005,28.38,,,,
105620.0659,2191.7373,28.96,,,,
105630.1332,2191.7783,28.72,,,,
105640.0050,2191.8228,26.68,,,,
105650.0150,2191.8683,25.65,,,,
105660.0250,2191.9138,24.94,,,,
105670.0350,2191.9593,23.97,,,,
105679.9900,2192.0045,26.01,,,,
105689.9450,2192.0498,25.27,,,,
105699.9550,2192.0953,26.46,,,,
105709.9650,2192.1408,26.14,,,,
105719.9750,2192.1863,26.77,,,,
105729.9850,2192.2318,27.97,,,,
105739.8521,2192.2760,28.52,,,,
105749.8440,2192.3160,29.88,,,,
105759.9605,2192.3518,30.12,,,,
105770.0064,2192.3865,27.26,,,,
105780.0523,2192.4213,26.90,,,,
105790.0259,2192.4558,27.28,,,,
105799.9995,2192.4903,27.63,,,,
105809.9732,2192.5248,26.68,,,,
105820.0191,2192.5595,27.56,,,,
105830.0650,2192.5943,26.50,,,,
105840.0386,2192.6288,24.56,,,,
105850.0123,2192.6633,23.12,,,,
105859.9859,2192.6978,22.60,,,,
105869.9595,2192.7323,23.45,,,,
105879.9332,2192.7668,21.84,,,,
105889.9791,2192.8015,19.85,,,,
105899.8843,2192.8353,NaN,,,,
105909.8606,2192.8663,NaN,,,,
105920.0432,2192.8953,28.71,,,,
105930.0591,2192.9235,27.57,,,,
105939.9864,2192.9515,25.14,,,,
105949.9136,2192.9795,24.27,,,,
105959.9295,2193.0078,24.80,,,,
105970.0341,2193.0363,21.91,,,,
105980.0500,2193.0645,24.31,,,,
105989.9773,2193.0925,25.05,,,,
105999.9045,2193.1205,25.45,,,,
106009.9205,2193.1488,24.14,,,,
106020.0250,2193.1773,26.03,,,,
106030.0409,2193.2055,27.86,,,,
106039.9682,2193.2335,30.71,,,,
106049.9841,2193.2618,30.05,,,,
106060.0886,2193.2903,25.76,,,,
106070.1045,2193.3185,25.27,,,,
106080.0318,2193.3465,25.08,,,,
106089.9602,2193.3745,25.99,,,,
106099.9588,2193.4023,27.14,,,,
106110.0491,2193.4295,27.16,,,,
106120.0682,2193.4563,28.30,,,,
106129.9936,2193.4828,28.55,,,,
106140.0127,2193.5095,27.73,,,,
106150.0318,2193.5363,28.72,,,,
106159.9573,2193.5628,29.11,,,,
106169.9764,2193.5895,27.35,,,,
106179.9955,2193.6163,28.34,,,,
106189.9209,2193.6428,28.05,,,,
106199.9400,2193.6695,25.67,,,,
106210.0527,2193.6965,25.42,,,,
106220.0718,2193.7233,25.22,,,,
106229.9973,2193.7498,24.89,,,,
106240.0164,2193.7765,24.51,,,,
106250.0355,2193.8033,22.47,,,,
106259.9609,2193.8298,22.52,,,,
106269.9800,2193.8565,21.81,,,,
106279.9991,2193.8833,21.14,,,,
106289.9245,2193.9098,22.54,,,,
106299.9930,2193.9368,26.22,,,,
106310.0498,2193.9645,NaN,,,,
106320.0014,2193.9928,28.00,,,,
106330.0023,2194.0213,34.19,,,,
106340.0032,2194.0498,33.46,,,,
106350.0041,2194.0783,24.24,,,,
106360.0050,2194.1068,24.91,,,,
106370.0059,2194.1353,23.42,,,,
106380.0068,2194.1638,25.34,,,,
106390.0077,2194.1923,27.05,,,,
106400.0086,2194.2208,28.45,,,,
106410.0095,2194.2493,28.32,,,,
106420.0105,2194.2778,27.27,,,,
106430.0114,2194.3063,32.72,,,,
106440.0123,2194.3348,30.29,,,,
106450.0132,2194.3633,30.07,,,,
106460.0141,2194.3918,29.14,,,,
106470.0150,2194.4203,28.76,,,,
106480.0159,2194.4488,28.99,,,,
106490.0197,2194.4773,27.81,,,,
106500.0393,2194.5055,27.55,,,,
106510.0305,2194.5333,29.12,,,,
106519.9805,2194.5608,28.44,,,,
106530.0209,2194.5885,26.67,,,,
106540.0614,2194.6163,25.96,,,,
106550.0114,2194.6438,28.87,,,,
106559.9614,2194.6713,28.71,,,,
106569.9114,2194.6988,28.30,,,,
106579.9518,2194.7265,27.51,,,,
106589.9923,2194.7543,26.23,,,,
106599.9423,2194.7818,27.36,,,,
106609.9827,2194.8095,28.54,,,,
106620.0232,2194.8373,27.83,,,,
106629.9732,2194.8648,25.52,,,,
106640.0136,2194.8925,29.53,,,,
106650.0541,2194.9203,34.42,,,,
106660.0041,2194.9478,29.15,,,,
106670.0445,2194.9755,25.63,,,,
106680.0850,2195.0033,25.30,,,,
106689.9766,2195.0305,29.74,,,,
106699.9711,2195.0565,27.12,,,,
106710.0268,2195.0808,NaN,,,,
106719.9823,2195.1043,NaN,,,,
106729.9377,2195.1278,NaN,,,,
106739.9991,2195.1515,50.60,,,,
106750.0605,2195.1753,72.32,,,,
106760.0159,2195.1988,89.61,,,,
106769.9714,2195.2223,89.53,,,,
106779.9268,2195.2458,92.91,,,,
106789.9882,2195.2695,101.28,,,,
106800.0495,2195.2933,120.95,,,,
106810.0050,2195.3168,128.02,,,,
106819.9605,2195.3403,123.03,,,,
106829.9159,2195.3638,83.36,,,,
106839.9773,2195.3875,68.28,,,,
106850.0386,2195.4113,49.93,,,,
106859.9941,2195.4348,43.84,,,,
106869.9495,2195.4583,44.18,,,,
106879.9050,2195.4818,43.10,,,,
106889.9664,2195.5055,42.31,,,,
106900.0277,2195.5293,41.34,,,,
106909.9832,2195.5528,39.08,,,,
106920.0445,2195.5765,39.36,,,,
106930.0841,2195.5998,37.48,,,,
106939.9655,2195.6218,37.42,,,,
106949.9309,2195.6435,36.53,,,,
106960.0109,2195.6655,37.47,,,,
106970.0909,2195.6875,39.85,,,,
106980.0564,2195.7093,35.98,,,,
106989.9073,2195.7308,33.98,,,,
106999.8727,2195.7525,34.58,,,,
107009.9527,2195.7745,35.70,,,,
107020.0327,2195.7965,34.48,,,,
107030.1127,2195.8185,31.36,,,,
107040.0782,2195.8403,30.43,,,,
107049.9291,2195.8618,30.06,,,,
107059.8945,2195.8835,30.83,,,,
107069.9745,2195.9055,30.87,,,,
107080.0545,2195.9275,30.86,,,,
107090.1345,2195.9495,30.74,,,,
107100.1000,2195.9713,30.73,,,,
107109.9509,2195.9928,30.42,,,,
107119.9164,2196.0145,29.11,,,,
107129.9964,2196.0365,28.98,,,,
107140.0764,2196.0585,28.88,,,,
107150.0418,2196.0803,29.58,,,,
107159.8927,2196.1018,29.83,,,,
107169.8582,2196.1235,28.91,,,,
107179.9571,2196.1455,33.84,,,,
107189.9990,2196.1673,NaN,,,,
107199.9659,2196.1888,NaN,,,,
107209.9341,2196.2103,NaN,,,,
107219.9023,2196.2318,26.43,,,,
107229.9864,2196.2535,26.39,,,,
107240.0705,2196.2753,25.84,,,,
107250.0386,2196.2968,NaN,,,,
107260.0068,2196.3183,23.83,,,,
107269.9750,2196.3398,23.43,,,,
107279.9432,2196.3613,22.65,,,,
107289.9114,2196.3828,NaN,,,,
107299.9955,2196.4045,NaN,,,,
107310.0795,2196.4263,35.58,,,,
107320.0477,2196.4478,30.02,,,,
107330.0159,2196.4693,25.79,,,,
107339.9841,2196.4908,26.08,,,,
107349.9523,2196.5123,26.88,,,,
107359.9205,2196.5338,24.28,,,,
107370.0045,2196.5555,23.97,,,,
107380.0886,2196.5773,24.68,,,,
107390.0568,2196.5988,24.57,,,,
107400.0250,2196.6203,24.58,,,,
107409.9932,2196.6418,25.39,,,,
107419.9614,2196.6633,24.17,,,,
107429.9295,2196.6848,24.54,,,,
107440.0136,2196.7065,25.83,,,,
107450.0977,2196.7283,26.32,,,,
107460.0659,2196.7498,26.25,,,,
107470.0341,2196.7713,27.45,,,,
107480.0023,2196.7928,26.64,,,,
107489.9705,2196.8143,25.64,,,,
107499.9386,2196.8358,26.84,,,,
107510.0227,2196.8575,25.45,,,,
107520.1068,2196.8793,28.33,,,,
107530.0750,2196.9008,27.03,,,,
107540.0432,2196.9223,24.92,,,,
107550.0114,2196.9438,24.55,,,,
107559.9795,2196.9653,26.37,,,,
107569.9477,2196.9868,26.09,,,,
107579.9159,2197.0083,26.37,,,,
107589.8841,2197.0298,25.01,,,,
107599.9682,2197.0515,26.02,,,,
107610.0523,2197.0733,27.35,,,,
107620.0205,2197.0948,25.68,,,,
107629.9886,2197.1163,25.64,,,,
107639.9568,2197.1378,26.02,,,,
107649.9250,2197.1593,27.18,,,,
107659.8932,2197.1808,27.60,,,,
107669.9773,2197.2025,27.08,,,,
107680.0614,2197.2243,27.90,,,,
107690.1262,2197.2475,28.25,,,,
107700.1125,2197.2750,24.23,,,,
107710.0627,2197.3055,24.91,,,,
107720.0705,2197.3363,25.88,,,,
107729.9968,2197.3668,26.65,,,,
107740.0045,2197.3975,27.19,,,,
107750.0123,2197.4283,26.12,,,,
107759.9386,2197.4588,26.46,,,,
107769.9464,2197.4895,26.06,,,,
107780.0355,2197.5205,25.72,,,,
107790.0432,2197.5513,25.16,,,,
107799.9695,2197.5818,26.17,,,,
107809.9773,2197.6125,26.39,,,,
107820.0664,2197.6435,25.61,,,,
107830.0741,2197.6743,26.11,,,,
107840.0005,2197.7048,26.06,,,,
107850.0082,2197.7355,25.99,,,,
107860.0159,2197.7663,26.32,,,,
107870.2005,2197.8488,27.10,,,,
107880.2078,2198.0413,24.87,,,,
107889.9418,2198.2910,26.12,,,,
107899.9468,2198.5318,27.20,,,,
107909.9830,2198.7618,26.27,,,,
107919.9926,2198.9870,27.53,,,,
107930.0227,2199.2085,26.83,,,,
107940.0286,2199.4305,26.29,,,,
107950.0209,2199.6568,26.83,,,,
107959.9847,2199.8845,27.08,,,,
107969.9924,2200.1093,25.38,,,,
107980.0227,2200.3305,26.73,,,,
107990.0205,2200.5528,27.29,,,,
108000.0145,2200.7795,24.35,,,,
108010.0073,2201.0085,24.79,,,,
108020.0000,2201.2375,24.72,,,,
108029.9927,2201.4665,24.29,,,,
108039.9855,2201.6955,24.31,,,,
108049.9891,2201.9248,24.64,,,,
108060.0305,2202.1583,25.37,,,,
108070.0323,2202.4010,24.81,,,,
108079.9332,2202.6458,25.06,,,,
108089.9446,2202.8795,23.61,,,,
108100.0022,2203.1020,23.70,,,,
108110.0033,2203.3160,25.60,,,,
108119.1087,2203.4965,27.74,,,,
108129.0845,2203.6085,25.67,,,,
108139.9717,2203.6648,26.75,,,,
108149.9617,2203.7053,27.04,,,,
108159.9517,2203.7458,27.30,,,,
108170.0033,2203.7865,26.71,,,,
108180.0550,2203.8273,28.45,,,,
108190.0450,2203.8678,31.51,,,,
108200.0350,2203.9083,42.25,,,,
108210.0250,2203.9488,47.25,,,,
108220.0150,2203.9893,43.13,,,,
108230.0050,2204.0298,44.64,,,,
108239.9950,2204.0703,47.13,,,,
108249.9850,2204.1108,49.69,,,,
108259.9750,2204.1513,49.48,,,,
108269.9650,2204.1918,46.96,,,,
108279.9550,2204.2323,49.37,,,,
108289.9450,2204.2728,47.50,,,,
108299.9967,2204.3135,45.67,,,,
108310.0483,2204.3543,47.95,,,,
108320.0383,2204.3948,46.18,,,,
108330.0283,2204.4353,54.69,,,,
108339.9399,2204.4753,66.61,,,,
108349.9082,2204.5135,114.01,,,,
108359.9300,2204.5498,150.82,,,,
108369.9300,2204.5853,118.85,,,,
108380.0300,2204.6200,84.49,,,,
108390.0500,2204.6535,89.74,,,,
108399.8987,2204.6860,143.34,,,,
108409.9237,2204.7173,144.73,,,,
108420.0650,2204.7473,144.86,,,,
108430.0126,2204.7765,131.08,,,,
108439.9726,2204.8055,116.71,,,,
108449.9875,2204.8343,95.11,,,,
108459.9625,2204.8628,102.53,,,,
108469.9133,2204.8910,102.53,,,,
108479.8583,2204.9185,100.92,,,,
108489.8350,2204.9455,112.06,,,,
108499.9175,2204.9728,118.00,,,,
108510.0675,2205.0000,134.09,,,,
108520.0700,2205.0265,137.89,,,,
108529.9500,2205.0525,142.91,,,,
108539.9278,2205.0788,126.84,,,,
108549.9928,2205.1050,124.44,,,,
108559.9925,2205.1308,117.58,,,,
108570.0350,2205.1565,130.02,,,,
108580.0063,2205.1820,131.84,,,,
108589.8913,2205.2060,128.85,,,,
108599.9375,2205.2288,118.54,,,,
108610.0625,2205.2513,125.80,,,,
108620.0750,2205.2735,127.17,,,,
108629.9600,2205.2950,128.30,,,,
108639.9475,2205.3153,151.42,,,,
108649.9400,2205.3345,167.85,,,,
108659.9500,2205.3538,157.44,,,,
108670.0900,2205.3733,138.38,,,,
108679.9856,2205.3920,131.68,,,,
108689.9181,2205.4093,127.63,,,,
108700.0650,2205.4255,126.06,,,,
108710.1450,2205.4415,138.58,,,,
108720.2250,2205.4575,137.14,,,,
108730.1475,2205.4733,NaN,,,,
108739.7870,2205.4885,NaN,,,,
108749.7220,2205.5030,124.31,,,,
108760.0350,2205.5165,116.84,,,,
108770.1075,2205.5293,120.09,,,,
108779.9825,2205.5418,106.52,,,,
108790.0550,2205.5545,94.03,,,,
108800.1275,2205.5673,124.02,,,,
108810.0025,2205.5798,179.33,,,,
108819.9483,2205.5923,134.30,,,,
108830.0383,2205.6040,123.74,,,,
108839.9200,2205.6145,130.96,,,,
108849.7600,2205.6248,174.35,,,,
108859.8400,2205.6353,173.10,,,,
108869.9200,2205.6458,150.62,,,,
108880.0000,2205.6563,135.72,,,,
108890.0800,2205.6668,111.90,,,,
108900.1600,2205.6773,114.22,,,,
108910.0000,2205.6875,120.29,,,,
108919.5933,2205.6973,130.41,,,,
108929.5733,2205.7065,128.40,,,,
108939.9800,2205.7155,128.28,,,,
108950.1300,2205.7243,119.33,,,,
108959.9900,2205.7328,105.99,,,,
108970.1400,2205.7415,106.80,,,,
108980.2900,2205.7503,117.04,,,,
108990.1500,2205.7588,105.84,,,,
109000.0100,2205.7673,104.10,,,,
109009.8700,2205.7758,103.01,,,,
109020.0200,2205.7845,110.90,,,,
109030.1681,2205.7933,119.44,,,,
109039.9381,2205.8018,114.94,,,,
109049.8650,2205.8105,138.60,,,,
109060.0350,2205.8195,150.87,,,,
109070.2050,2205.8285,NaN,,,,
109080.3750,2205.8375,NaN,,,,
109090.2625,2205.8463,NaN,,,,
109099.8675,2205.8548,NaN,,,,
109109.7550,2205.8635,130.15,,,,
109119.9250,2205.8725,127.97,,,,
109130.0950,2205.8815,157.24,,,,
109140.2650,2205.8905,150.89,,,,
109150.1950,2205.8995,132.97,,,,
109159.8375,2205.9088,129.27,,,,
109169.6850,2205.9185,137.74,,,,
109179.7850,2205.9285,130.76,,,,
109189.8850,2205.9385,128.26,,,,
109199.9850,2205.9485,132.59,,,,
109210.0850,2205.9585,119.78,,,,
109220.1850,2205.9685,99.28,,,,
109230.2850,2205.9785,111.17,,,,
109240.3850,2205.9885,121.86,,,,
109250.3258,2205.9983,120.82,,,,
109260.0283,2206.0075,119.47,,,,
109269.9225,2206.0168,142.75,,,,
109280.0875,2206.0263,138.52,,,,
109289.9850,2206.0355,203.34,,,,
109299.8825,2206.0448,232.98,,,,
109310.0475,2206.0543,NaN,,,,
109319.9450,2206.0635,NaN,,,,
109329.8425,2206.0728,148.15,,,,
109340.0075,2206.0823,136.73,,,,
109349.9050,2206.0915,119.74,,,,
109359.7625,2206.1003,126.17,,,,
109369.9650,2206.1085,130.13,,,,
109380.2850,2206.1165,126.90,,,,
109390.2825,2206.1243,115.34,,,,
109399.9575,2206.1318,104.07,,,,
109409.9550,2206.1395,107.87,,,,
109420.2750,2206.1475,132.69,,,,
109430.2725,2206.1553,132.38,,,,
109439.9475,2206.1628,117.23,,,,
109449.9450,2206.1705,131.44,,,,
109460.2650,2206.1785,142.07,,,,
109470.2625,2206.1863,148.43,,,,
109479.9525,2206.1938,140.31,,,,
109489.8450,2206.2010,142.63,,,,
109499.8575,2206.2078,148.48,,,,
109509.8025,2206.2143,130.17,,,,
109519.7475,2206.2208,125.28,,,,
109529.6925,2206.2273,131.94,,,,
109539.6375,2206.2338,140.88,,,,
109549.9650,2206.2405,140.59,,,,
109560.2925,2206.2473,145.24,,,,
109570.2375,2206.2538,150.15,,,,
109580.1825,2206.2603,149.32,,,,
109590.1275,2206.2668,143.59,,,,
109600.0725,2206.2733,128.67,,,,
109610.0175,2206.2798,124.01,,,,
109619.9625,2206.2863,135.45,,,,
109629.9075,2206.2928,134.77,,,,
109639.8525,2207.8975,135.26,,,,
,,5.32,,,,
116640.0000,2364.4813,5.28,,,,
116650.0000,2364.4938,5.23,,,,
116660.0000,2364.5063,5.19,,,,
116670.0000,2364.5188,5.14,,,,
116680.0000,2364.5313,5.10,,,,
116690.0000,2364.5438,5.05,,,,
116700.0000,2364.5563,5.01,,,,
116710.0000,2364.5688,NaN,,,,
116720.0000,2364.5813,2.82,,,,
116730.0000,2364.5938,1.70,,,,
116740.0000,2364.6063,0.58,,,,
116750.0000,2364.6188,NaN,,,,
116760.0000,2364.6313,NaN,,,,
116770.0000,2364.6438,9.38,,,,
116780.0000,2364.6563,10.27,,,,
116790.0000,2364.6688,11.16,,,,
116800.0000,2364.6813,12.05,,,,
116810.0000,2364.6938,12.94,,,,
116820.0000,2364.7063,13.83,,,,
116830.0000,2364.7188,NaN,,,,
116840.0000,2364.7313,8.10,,,,
116850.0000,2364.7438,8.06,,,,
116860.0000,2364.7563,8.03,,,,
116870.0000,2364.7688,7.99,,,,
116880.0000,2364.7813,7.96,,,,
116890.2904,2364.7948,7.92,,,,
116900.2617,2364.8113,7.88,,,,
116909.9138,2364.8308,7.85,,,,
116919.9775,2364.8515,7.81,,,,
116930.0413,2364.8723,7.78,,,,
116939.9838,2364.8928,7.74,,,,
116950.0475,2364.9135,7.71,,,,
116960.1113,2364.9343,7.67,,,,
116970.0538,2364.9548,7.63,,,,
116979.9963,2364.9753,7.60,,,,
116989.9383,2364.9960,7.56,,,,
116999.9795,2365.0178,7.53,,,,
117010.1125,2365.0403,NaN,,,,
117020.1250,2365.0625,NaN,,,,
117030.0250,2365.0845,7.60,,,,
117039.9250,2365.1065,7.74,,,,
117049.9375,2365.1288,7.88,,,,
117060.0625,2365.1513,8.02,,,,
117070.0750,2365.1735,8.16,,,,
117080.0503,2365.1958,8.30,,,,
117090.0278,2365.2183,8.44,,,,
117099.9300,2365.2408,8.58,,,,
117109.9400,2365.2635,NaN,,,,
117120.0600,2365.2865,9.24,,,,
117130.0700,2365.3093,9.41,,,,
117139.9700,2365.3318,9.59,,,,
117149.9800,2365.3545,9.76,,,,
117160.1000,2365.3775,9.94,,,,
117170.1000,2365.4005,10.12,,,,
117179.9750,2365.4238,10.29,,,,
117189.9500,2365.4475,10.47,,,,
117200.0300,2365.4715,10.64,,,,
117210.1100,2365.4955,10.82,,,,
117220.0850,2365.5193,11.00,,,,
117229.9550,2365.5428,11.17,,,,
117239.9300,2365.5665,11.35,,,,
117249.9881,2365.5905,11.53,,,,
117260.0381,2365.6148,11.70,,,,
117270.0925,2365.6393,11.88,,,,
117280.0350,2365.6635,12.05,,,,
117289.9775,2365.6878,12.23,,,,
117300.0225,2365.7123,12.41,,,,
117309.9650,2365.7365,12.58,,,,
117319.9075,2365.7608,NaN,,,,
117330.0385,2365.7855,7.00,,,,
117340.1160,2365.8105,7.24,,,,
117350.0225,2365.8355,NaN,,,,
117359.9963,2365.8608,7.74,,,,
117370.0688,2365.8863,7.74,,,,
117380.0425,2365.9115,7.74,,,,
117390.0163,2365.9368,7.74,,,,
117400.0888,2365.9623,7.75,,,,
117410.1350,2365.9878,7.75,,,,
117420.1075,2366.0135,7.75,,,,
117430.0100,2366.0395,7.75,,,,
117439.9850,2366.0658,7.75,,,,
117450.0550,2366.0923,7.76,,,,
117460.0300,2366.1185,7.76,,,,
117470.0050,2366.1448,7.76,,,,
117480.0750,2366.1713,7.76,,,,
117490.0894,2366.1978,7.76,,,,
117500.0644,2366.2245,7.77,,,,
117510.0550,2366.2515,7.77,,,,
117520.0450,2366.2785,7.77,,,,
117530.0350,2366.3055,NaN,,,,
117540.0250,2366.3325,10.21,,,,
117550.0150,2366.3595,10.33,,,,
117559.9881,2366.3865,10.45,,,,
117569.9331,2366.4138,10.57,,,,
117579.9400,2366.4415,10.69,,,,
117590.0200,2366.4695,10.81,,,,
117600.0100,2366.4973,10.93,,,,
117609.9100,2366.5248,NaN,,,,
117619.9000,2366.5525,7.37,,,,
117629.9768,2366.5805,7.34,,,,
117640.0005,2366.6085,7.31,,,,
117649.9575,2366.6365,7.28,,,,
117659.8975,2366.6645,7.25,,,,
117669.9263,2366.6928,7.22,,,,
117680.0438,2366.7213,7.18,,,,
117690.0725,2366.7495,7.15,,,,
117700.0085,2366.7775,7.12,,,,
117709.9722,2366.8060,7.09,,,,
117719.9850,2366.8353,7.06,,,,
117730.0150,2366.8648,7.03,,,,
117740.0450,2366.8943,7.00,,,,
117749.9900,2366.9235,6.97,,,,
117759.9350,2366.9528,6.93,,,,
117769.9593,2366.9823,6.90,,,,
117779.9231,2367.0118,6.87,,,,
117789.9025,2367.0415,6.84,,,,
117799.9525,2367.0715,6.81,,,,
117810.0025,2367.1015,6.78,,,,
117820.0525,2367.1315,6.75,,,,
117830.1025,2367.1615,6.72,,,,
117840.1140,2367.1915,6.68,,,,
117850.0628,2367.2218,6.65,,,,
117860.0625,2367.2525,6.62,,,,
117870.0563,2367.2833,6.59,,,,
117879.9688,2367.3138,6.56,,,,
117889.9625,2367.3445,6.53,,,,
117900.0358,2367.3755,6.50,,,,
117910.0558,2367.4065,6.47,,,,
117920.0000,2367.4375,6.43,,,,
117930.0000,2367.4688,6.40,,,,
117940.0800,2367.5003,6.37,,,,
117950.0800,2367.5315,6.34,,,,
117960.0000,2367.5625,6.31,,,,
117969.9746,2367.5938,6.28,,,,
117980.0309,2367.6255,6.25,,,,
117990.0338,2367.6573,6.22,,,,
117999.9563,2367.6888,6.18,,,,
118009.9575,2367.7205,6.15,,,,
118020.0375,2367.7525,6.12,,,,
118030.0856,2367.7845,6.09,,,,
118040.0719,2367.8170,6.06,,,,
118050.0750,2367.8503,6.03,,,,
118060.0500,2367.8835,6.00,,,,
118070.0250,2367.9168,5.97,,,,
118080.0750,2367.9503,5.93,,,,
118090.0603,2367.9835,5.90,,,,
118100.0428,2368.0165,5.87,,,,
118110.0213,2368.0493,5.84,,,,
118119.9338,2368.0818,5.81,,,,
118129.9225,2368.1145,5.78,,,,
118139.9875,2368.1475,5.75,,,,
118150.0318,2368.1805,5.72,,,,
118160.0168,2368.2140,5.68,,,,
118169.9925,2368.2483,5.65,,,,
118179.9975,2368.2828,5.62,,,,
118190.0025,2368.3173,5.59,,,,
118200.0075,2368.3518,5.56,,,,
118210.0279,2368.3863,5.53,,,,
118220.0542,2368.4205,NaN,,,,
118230.0775,2368.4545,10.49,,,,
118240.1075,2368.4885,NaN,,,,
118250.0638,2368.5223,277.34,,,,
118259.9463,2368.5558,277.63,,,,
118269.9120,2368.5898,277.92,,,,
118279.9182,2368.6248,278.21,,,,
118289.9400,2368.6605,278.50,,,,
118300.0200,2368.6965,278.79,,,,
118310.0300,2368.7323,279.08,,,,
118319.9700,2368.7678,279.37,,,,
118329.9800,2368.8035,279.66,,,,
118340.0600,2368.8395,279.95,,,,
118350.0700,2368.8753,280.24,,,,
118360.0100,2368.9108,280.53,,,,
118370.0200,2368.9465,280.82,,,,
118380.0881,2368.9825,281.11,,,,
118390.0769,2369.0185,281.40,,,,
118399.9875,2369.0545,281.69,,,,
118409.9563,2369.0908,281.98,,,,
118419.9938,2369.1273,282.27,,,,
118430.0313,2369.1638,282.56,,,,
118440.0900,2369.2005,282.85,,,,
118450.1250,2369.2375,283.14,,,,
118460.1150,2369.2745,283.43,,,,
118470.1050,2369.3115,283.72,,,,
118480.0950,2369.3485,284.01,,,,
118490.0679,2369.3855,284.30,,,,
118500.0217,2369.4228,284.59,,,,
118510.0325,2369.4605,284.88,,,,
118520.0363,2369.4983,285.17,,,,
118529.9738,2369.5358,285.46,,,,
118539.9732,2369.5735,285.75,,,,
118549.9669,2369.6115,286.04,,,,
118559.9350,2369.6498,286.33,,,,
118569.9450,2369.6883,286.62,,,,
118579.9550,2369.7268,286.91,,,,
118589.9650,2369.7653,287.20,,,,
118599.9750,2369.8038,287.49,,,,
118609.9850,2369.8423,287.78,,,,
118619.9950,2369.8808,288.07,,,,
118630.0050,2369.9193,288.36,,,,
118640.0150,2369.9578,288.65,,,,
118650.0496,2369.9965,288.94,,,,
118660.0521,2370.0355,289.23,,,,
118669.9975,2370.0745,289.52,,,,
118679.9425,2370.1135,289.81,,,,
118689.9513,2370.1528,290.09,,,,
118699.9920,2370.1923,290.38,,,,
