depth_m,age_ice_calBP,age_gas_calBP
337.506,1315,1135.6
337.757,1316,1136.6
337.998,1317,1137.6
338.228,1318,1138.6
338.457,1319,1139.6
338.742,1320,1140.7
338.928,1321,1141.7
339.179,1322,1142.7
339.464,1323,1143.7
339.694,1324,1144.7
339.956,1325,1145.7
340.164,1326,1146.7
340.339,1327,1147.7
340.591,1328,1148.7
340.81,1329,1149.7
341.083,1330,1150.8
341.269,1331,1151.8
341.477,1332,1152.8
341.773,1333,1153.8
342.046,1334,1154.8
342.287,1335,1155.8
342.484,1336,1156.8
342.703,1337,1157.8
342.976,1338,1158.8
343.228,1339,1159.8
343.425,1340,1160.8
343.72,1341,1161.9
343.939,1342,1162.9
344.201,1343,1163.9
344.453,1344,1164.9
344.759,1345,1165.9
344.989,1346,1166.9
345.23,1347,1167.9
345.394,1348,1168.9
345.624,1349,1169.9
345.93,1350,1170.9
346.116,1351,1171.9
346.401,1352,1172.9
346.674,1353,1173.9
346.882,1354,1174.9
347.09,1355,1175.9
347.363,1356,1176.9
347.593,1357,1177.8
347.845,1358,1178.8
348.075,1359,1179.8
348.293,1360,1180.8
348.622,1361,1181.8
348.829,1362,1182.7
349.048,1363,1183.7
349.223,1364,1184.7
349.464,1365,1185.7
349.705,1366,1186.6
349.902,1367,1187.6
350.164,1368,1188.5
350.372,1369,1189.5
350.624,1370,1190.4
350.821,1371,1191.4
351.05,1372,1192.4
351.258,1373,1193.3
351.444,1374,1194.3
351.707,1375,1195.2
352.002,1376,1196.2
352.265,1377,1197.1
352.462,1378,1198.1
352.637,1379,1199.1
352.845,1380,1200.1
352.998,1381,1201
353.217,1382,1202
353.447,1383,1203
353.654,1384,1204
353.906,1385,1204.9
354.114,1386,1205.9
354.333,1387,1206.9
354.606,1388,1207.9
354.924,1389,1208.9
355.186,1390,1209.9
355.46,1391,1210.9
355.733,1392,1211.9
355.996,1393,1212.9
356.226,1394,1213.9
356.422,1395,1214.9
356.718,1396,1215.9
356.937,1397,1216.9
357.177,1398,1218
357.352,1399,1219
357.593,1400,1220
357.889,1401,1221.1
358.064,1402,1222.1
358.37,1403,1223.1
358.709,1404,1224.2
358.895,1405,1225.2
359.201,1406,1226.2
359.497,1407,1227.3
359.672,1408,1228.3
